datadate,dlcq,dlttq
2013-03-31,235.4,619.9
2013-06-30,247.56,604.08
2013-09-30,259.73,588.27
2013-12-31,271.89,572.45
2014-03-31,284.06,556.64
2014-06-30,296.22,540.82
2014-09-30,308.38,525.01
2014-12-31,320.55,509.19
2015-03-31,332.71,493.38
2015-06-30,344.88,477.56
2015-09-30,357.04,461.75
2015-12-31,369.21,445.93
2016-03-31,381.37,430.12
2016-06-30,393.53,414.3
2016-09-30,405.7,398.48
2016-12-31,417.86,382.67
2017-03-31,430.03,366.85
2017-06-30,442.19,351.04
2017-09-30,454.35,335.22
2017-12-31,466.52,319.41
2018-03-31,478.68,303.59
2018-06-30,490.85,287.78
2018-09-30,503.01,271.96
2018-12-31,515.17,256.15
2019-03-31,527.34,240.33
2019-06-30,539.5,224.52
2019-09-30,551.67,208.7
2019-12-31,563.83,192.88
2020-03-31,575.99,177.07
2020-06-30,588.16,161.25
2020-09-30,600.32,145.44
2020-12-31,612.49,129.62
2021-03-31,624.65,113.81
2021-06-30,636.82,97.99
2021-09-30,648.98,82.18
2021-12-31,661.14,66.36
2022-03-31,673.31,50.55
2022-06-30,685.47,34.73
2022-09-30,697.64,18.92
2022-12-31,709.8,3.1
