datadate,atq,liabilities,wcapq,req,OperatingInc,revtq,mkvaltq,dlcq,dlttq
2013-03-31,1843.9,1591.0,41.5,1289.2,105.76,685.31,4013.9,235.4,619.9
2013-06-30,1815.69,1580.29,39.37,1278.89,102.5,601.89,3757.42,247.56,604.08
2013-09-30,1787.47,1569.58,37.24,1268.59,99.32,626.21,3517.32,259.73,588.27
2013-12-31,1759.26,1558.88,35.12,1258.28,102.63,608.18,3292.57,271.89,572.45
2014-03-31,1731.05,1548.17,32.99,1247.98,88.75,689.53,3082.18,284.06,556.64
2014-06-30,1702.84,1537.46,30.86,1237.67,86.37,598.82,2885.23,296.22,540.82
2014-09-30,1674.62,1526.75,28.73,1227.37,83.64,646.73,2700.87,308.38,525.01
2014-12-31,1646.41,1516.05,26.6,1217.06,87.53,741.58,2528.28,320.55,509.19
2015-03-31,1618.2,1505.34,24.47,1206.76,76.2,678.23,2366.73,332.71,493.38
2015-06-30,1589.98,1494.63,22.35,1196.45,83.0,563.69,2215.5,344.88,477.56
2015-09-30,1561.77,1483.92,20.22,1186.15,75.37,560.48,2073.93,357.04,461.75
2015-12-31,1533.56,1473.22,18.09,1175.84,69.82,598.09,1941.41,369.21,445.93
2016-03-31,1505.35,1462.51,15.96,1165.54,67.34,476.22,1817.35,381.37,430.12
2016-06-30,1477.13,1451.8,13.83,1155.23,66.03,508.18,1701.23,393.53,414.3
2016-09-30,1448.92,1441.09,11.71,1144.93,60.84,572.71,1592.52,405.7,398.48
2016-12-31,1420.71,1430.38,9.58,1134.62,66.4,529.77,1490.76,417.86,382.67
2017-03-31,1392.49,1419.68,7.45,1124.32,65.32,640.29,1395.5,430.03,366.85
2017-06-30,1364.28,1408.97,5.32,1114.01,63.31,487.75,1306.33,442.19,351.04
2017-09-30,1336.07,1398.26,3.19,1103.71,54.53,459.4,1222.86,454.35,335.22
2017-12-31,1307.86,1387.55,1.06,1093.4,55.84,458.66,1144.72,466.52,319.41
2018-03-31,1279.64,1376.85,-1.06,1083.1,52.19,493.26,1071.57,478.68,303.59
2018-06-30,1251.43,1366.14,-3.19,1072.79,52.5,476.08,1003.1,490.85,287.78
2018-09-30,1223.22,1355.43,-5.32,1062.49,49.08,593.73,939.0,503.01,271.96
2018-12-31,1195.01,1344.72,-7.45,1052.18,45.23,448.02,879.0,515.17,256.15
2019-03-31,1166.79,1334.02,-9.58,1041.88,35.0,460.0,822.83,527.34,240.33
2019-06-30,1138.58,1323.31,-11.71,1031.57,39.33,490.22,770.26,539.5,224.52
2019-09-30,1110.37,1312.6,-13.83,1021.27,38.0,435.24,721.04,551.67,208.7
2019-12-31,1082.15,1301.89,-15.96,1010.96,32.34,455.84,674.96,563.83,192.88
2020-03-31,1053.94,1291.18,-18.09,1000.66,31.61,439.45,631.83,575.99,177.07
2020-06-30,1025.73,1280.48,-20.22,990.35,25.06,449.79,591.46,588.16,161.25
2020-09-30,997.52,1269.77,-22.35,980.05,26.53,351.73,553.67,600.32,145.44
2020-12-31,969.3,1259.06,-24.47,969.74,27.41,429.46,518.29,612.49,129.62
2021-03-31,941.09,1248.35,-26.6,959.44,31.3,382.05,485.17,624.65,113.81
2021-06-30,912.88,1237.65,-28.73,949.13,16.46,385.75,454.17,636.82,97.99
2021-09-30,884.66,1226.94,-30.86,938.83,17.98,355.81,425.15,648.98,82.18
2021-12-31,856.45,1216.23,-32.99,928.52,11.8,426.23,397.98,661.14,66.36
2022-03-31,828.24,1205.52,-35.12,918.22,12.84,287.08,372.55,673.31,50.55
2022-06-30,800.03,1194.82,-37.24,907.91,9.88,395.13,348.74,685.47,34.73
2022-09-30,771.81,1184.11,-39.37,897.61,11.67,312.79,326.46,697.64,18.92
2022-12-31,743.6,1173.4,-41.5,887.3,9.8,379.86,305.6,709.8,3.1
