date,PRC,SHROUT,CFACPR,CFACSHR,RET,DLRET
2013-01-01,77.53,50358.3,1.0,1.0,-0.027273,
2013-01-02,78.05,50358.3,1.0,1.0,0.006719,
2013-01-03,78.5,50358.3,1.0,1.0,0.005756,
2013-01-04,80.35,50358.3,1.0,1.0,0.023573,
2013-01-07,79.17,50358.3,1.0,1.0,-0.014793,
2013-01-08,78.1,50358.3,1.0,1.0,-0.013475,
2013-01-09,76.96,50358.3,1.0,1.0,-0.014569,
2013-01-10,75.2,50358.3,1.0,1.0,-0.022877,
2013-01-11,70.56,50358.3,1.0,1.0,-0.061692,
2013-01-14,72.12,50358.3,1.0,1.0,0.022096,
2013-01-15,73.48,50358.3,1.0,1.0,0.018816,
2013-01-16,70.77,50358.3,1.0,1.0,-0.036846,
2013-01-17,69.98,50358.3,1.0,1.0,-0.011172,
2013-01-18,68.68,50358.3,1.0,1.0,-0.018606,
2013-01-21,67.46,50358.3,1.0,1.0,-0.017686,
2013-01-22,64.02,50358.3,1.0,1.0,-0.050978,
2013-01-23,63.0,50358.3,1.0,1.0,-0.015942,
2013-01-24,63.85,50358.3,1.0,1.0,0.01348,
2013-01-25,67.83,50358.3,1.0,1.0,0.062351,
2013-01-28,68.41,50358.3,1.0,1.0,0.008541,
2013-01-29,68.55,50358.3,1.0,1.0,0.001977,
2013-01-30,67.64,50358.3,1.0,1.0,-0.013244,
2013-01-31,66.61,50358.3,1.0,1.0,-0.015252,
2013-02-01,68.08,50358.3,1.0,1.0,0.022024,
2013-02-04,68.49,50358.3,1.0,1.0,0.006046,
2013-02-05,67.38,50358.3,1.0,1.0,-0.016086,
2013-02-06,65.69,50358.3,1.0,1.0,-0.025161,
2013-02-07,65.37,50358.3,1.0,1.0,-0.004831,
2013-02-08,64.48,50358.3,1.0,1.0,-0.013676,
2013-02-11,64.41,50358.3,1.0,1.0,-0.001091,
2013-02-12,63.99,50358.3,1.0,1.0,-0.006447,
2013-02-13,64.53,50358.3,1.0,1.0,0.008423,
2013-02-14,62.54,50358.3,1.0,1.0,-0.030844,
2013-02-15,64.14,50358.3,1.0,1.0,0.025577,
2013-02-18,68.5,50358.3,1.0,1.0,0.067947,
2013-02-19,70.42,50358.3,1.0,1.0,0.028083,
2013-02-20,70.73,50358.3,1.0,1.0,0.004299,
2013-02-21,72.17,50358.3,1.0,1.0,0.020414,
2013-02-22,70.37,50358.3,1.0,1.0,-0.024869,
2013-02-25,67.68,50358.3,1.0,1.0,-0.038219,
2013-02-26,68.89,50358.3,1.0,1.0,0.017771,
2013-02-27,67.94,50358.3,1.0,1.0,-0.013782,
2013-02-28,65.71,50358.3,1.0,1.0,-0.03274,
2013-03-01,64.28,50358.3,1.0,1.0,-0.021857,
2013-03-04,62.5,50358.3,1.0,1.0,-0.027708,
2013-03-05,62.64,50358.3,1.0,1.0,0.002271,
2013-03-06,63.46,50358.3,1.0,1.0,0.013101,
2013-03-07,64.76,50358.3,1.0,1.0,0.020561,
2013-03-08,66.11,50358.3,1.0,1.0,0.020722,
2013-03-11,67.25,50358.3,1.0,1.0,0.017314,
2013-03-12,66.85,50358.3,1.0,1.0,-0.005915,
2013-03-13,65.8,50358.3,1.0,1.0,-0.0158,
